Timestamp,X,Y,Z
1.869,0.028747559,3.9216766,10.561127
1.89,-0.14842224,3.1124268,8.727173
1.911,0.30049133,2.1332092,8.664917
1.932,0.30049133,1.0306702,9.640549
1.953,-0.21546936,0.5386658,8.491333
1.974,-0.21546936,0.5386658,8.491333
1.995,-0.22264099,0.24777222,9.958984
2.016,0.16880798,-0.5674591,9.119812
2.038,-0.070617676,-2.057846,9.629776
2.058,-0.070617676,-2.057846,9.629776
2.08,-0.29208374,-2.6827393,9.399933
2.102,-0.18673706,-2.6970978,9.069534
2.124,-0.15081787,-2.875473,8.730759
2.144,-0.39622498,-3.0358734,9.585495
2.165,-0.26335144,-2.1500244,9.032425
2.186,-0.27172852,-2.9377136,9.792587
2.207,-0.032302856,-3.4393005,10.222351
2.229,-0.116104126,-3.3291626,9.01207
2.25,-0.116104126,-3.3291626,9.01207
2.271,-0.13166809,-1.7681427,9.271851
2.293,-0.6033325,0.12805176,9.794983
2.314,-0.6033325,0.12805176,9.794983
2.335,0.05986023,2.306778,8.619431
2.356,0.09698486,4.0294037,9.154526
2.377,-0.6655731,4.7273254,9.31015
2.398,-0.123291016,5.623947,9.851242
2.419,-0.23461914,3.831894,9.352051
2.44,-0.08139038,4.089264,10.140945
2.461,-0.08139038,4.089264,10.140945
2.483,0.023956299,3.939621,9.13298
2.503,0.14007568,1.5142975,8.091507
2.524,-0.33158875,0.9648285,10.546753
2.545,0.1149292,1.6507721,10.95018
2.566,-0.18673706,1.4161377,10.023621
2.587,0.14845276,0.14482117,7.835327
2.609,-0.017944336,-2.3631134,9.348465
2.63,-0.017944336,-2.3631134,9.348465
2.651,-0.7110596,-3.9636383,9.577103
2.672,-0.7110596,-3.9636383,9.577103
2.693,-0.077804565,-2.6097107,8.317764
2.714,-0.077804565,-2.6097107,8.317764
2.735,-0.1244812,-1.5502777,9.206009
2.756,0.06225586,-3.4117737,9.097076
2.777,0.03591919,-4.3993835,10.77301
2.798,0.03591919,-4.3993835,10.77301
2.819,-0.52671814,-4.8949738,9.135376
2.84,-0.03590393,-0.2250824,9.504089
2.861,0.11373901,2.686264,9.678864
2.881,-0.67755127,5.2684174,10.805328
2.902,-0.67755127,5.2684174,10.805328
2.923,-0.5578308,6.5660706,10.577881
2.945,0.80326843,5.275589,10.054749
2.966,-0.33996582,1.7824554,9.754272
2.986,0.026351929,2.4600067,9.511261
3.007,-0.116104126,3.3099518,9.826111
3.028,-0.106536865,4.319107,9.544785
3.049,-0.080200195,3.2955933,9.48732
3.07,-0.023925781,1.2533264,9.678864
3.095,-0.023925781,1.2533264,9.678864
3.116,-0.59614563,-2.3164215,9.9362335
3.136,-0.4381256,-3.3602905,9.559158
3.157,-0.16279602,-3.8726501,9.732727
3.178,0.33041382,-4.5585938,10.476135
3.199,-0.0035858154,-1.6843567,9.516052
3.22,-0.0035858154,-1.6843567,9.516052
3.242,-0.18792725,-4.5705566,9.192841
3.262,-0.18792725,-4.5705566,9.192841
3.285,-0.056243896,-4.4556427,9.445419
3.306,-0.28250122,-2.8287811,9.392761
3.327,-0.17955017,0.1292572,9.771042
3.347,-0.5183258,3.6451416,9.816528
3.368,-0.3519287,5.790344,10.318115
3.389,0.12211609,6.836609,9.966171
3.41,0.12211609,6.836609,9.966171
3.431,0.6895447,4.140747,10.251068
3.452,-0.14602661,3.6247864,9.419098
3.473,0.15922546,2.5964813,9.8524475
3.494,0.15922546,2.5964813,9.8524475
3.515,-0.11730957,3.1770782,9.443039
3.537,-0.026321411,2.5641632,9.2682495
3.56,-0.1244812,1.0474396,9.853638
3.581,-0.1244812,1.0474396,9.853638
3.602,-0.8978119,-2.128479,8.633789
3.623,-0.7457886,-4.62204,8.830124
3.645,0.999588,-5.5533752,8.769058
3.666,-0.010757446,-5.2301636,10.006866
3.687,0.013183594,-3.6835175,9.126999
3.707,-0.05265808,-4.7201996,10.63176
3.729,0.15563965,-4.246155,10.271423
3.75,-0.008361816,-2.2817078,9.100662
3.771,-0.27651978,1.4592285,9.360428
3.791,-0.27651978,3.6080322,10.020035
3.812,-0.27651978,3.6080322,10.020035
3.833,-0.40220642,6.714508,9.177277
3.854,-0.18913269,5.2229156,9.306564
3.875,-0.18913269,5.2229156,9.306564
3.895,-0.11491394,4.4663544,10.412689
3.916,-0.16998291,1.8279419,9.642944
3.937,-0.73620605,-0.38668823,8.925888
3.959,-0.73620605,-0.38668823,8.925888
3.98,0.5087738
4.001,0.5087738,-2.7030792,10.942993
4.022,0.5087738,-2.7030792,10.942993
4.044,-0.33876038,-5.121231,7.6042786
4.065,0.37231445,-5.7365417,9.296982
4.086,0.37231445,-5.7365417,9.296982
4.107,0.12930298,-2.042282,10.544373
4.128,-0.25616455,0.99476624,9.96257
4.149,-0.25616455,0.99476624,9.96257
4.17,-0.21546936,4.920059,8.995316
4.192,-0.41418457,5.069687,7.739563
4.213,-0.4967804,1.717804,9.480148
4.234,-0.113708496,1.0079346,8.949829
4.255,0.36871338,-0.7158966,18.165115
4.276,0.36871338,-0.7158966,18.165115
4.298,-0.38545227,0.72421265,8.141785
4.319,-0.42616272,-0.5494995,9.754272
4.341,-0.42616272,-0.5494995,9.754272
4.361,-0.39743042,0.16397095,9.383179
4.382,-0.39743042,0.16397095,9.383179
4.403,-0.14364624,0.22383118,9.698013
4.425,-0.2286377,0.25256348,9.54599
4.446,-0.1197052,0.23339844,9.660904
4.467,-0.15800476,0.23100281,9.579498
4.488,-0.17236328,0.19868469,9.703995
4.509,-0.17236328,0.19868469,9.703995
4.53,-0.17715454,0.24537659,9.6393585
4.55,-0.20230103,0.23579407,9.569931
4.571,-0.16279602,0.24777222,9.590271
4.592,-0.16279602,0.24777222,9.590271
4.613,-0.0957489,1.6723175,9.687241
4.636,-0.28608704,2.9376526,9.781815
4.656,-0.15681458,3.4188843,9.836884
4.677,-0.13764954,2.1571503,11.379944
4.698,-0.13764954,2.1571503,11.379944
4.719,-0.5626221,-2.919754,8.989334
4.739,0.410614,-5.8538513,9.004898
4.76,0.013183594,-4.334732,9.154526
4.781,-0.021530151,-4.2976227,9.182068
4.802,0.10057068,-1.7705383,9.595062
4.823,0.10057068,-1.7705383,9.595062
4.844,-0.25497437,3.5254364,10.012848
4.865,-0.50157166,5.670639,11.132141
4.886,-0.8678894,4.5788727,10.271423
4.907,-0.8678894,4.5788727,10.271423
4.928,-0.4465027,4.472336,9.958984
4.949,-0.6548004,2.6407776,7.9586334
4.969,-0.65838623,0.1184845,8.408737
4.992,0.8487549,-3.6320343,5.1250916
5.013,-0.84394836,-4.9919434,12.302902
5.034,-0.026321411,-2.1081238,8.7966
5.055,-0.0909729,-1.484436,10.314529
5.075,0.019165039,-0.5183716,10.197205
5.096,0.019165039,-0.5183716,10.197205
5.117,-0.33398438,2.1715088,9.137772
5.138,-0.38305664,3.1100311,9.680054
5.161,-0.19869995,2.4612122,9.7782135
5.182,-0.5841675,1.0246887,10.642532
5.203,-0.10772705,-0.7194824,11.008835
5.224,-0.10772705,-0.7194824,11.008835
5.245,-0.13406372,-1.8986359,9.375992
5.266,-0.31721497,0.20587158,9.529221
5.287,-0.07420349,0.22862244,9.7339325
5.309,-0.07420349,0.22862244,9.7339325
5.33,-0.17475891,-0.6069641,9.542389
5.351,-0.03829956,-0.96009827,9.511261
5.372,0.0048065186,-0.68237305,9.842865
5.394,-0.20469666,0.72062683,10.091858
5.414,-0.20349121,0.23460388,9.444229
5.436,-0.23701477,0.09933472,9.434647
5.456,-0.20828247,1.0773621,9.731537
5.478,-0.20828247,1.0773621,9.731537
5.499,-0.18913269,1.8087921,9.513657
5.52,-0.21307373,3.8067474,9.917084
5.541,-0.27531433,4.619583,8.071152
5.562,-0.43333435,1.5059204,6.9422913
5.585,-0.79844666,-2.7389984,10.480911
5.605,-0.79844666,-2.7389984,10.480911
5.627,0.73861694,-4.985962,5.6901245
5.648,0.73861694,-4.985962,5.6901245
5.67,-0.32321167,-2.8227997,15.065811
5.691,-0.094558716,-4.5693665,9.808151
5.711,0.46568298,-3.6009064,9.464584
5.732,0.080215454,-0.26339722,9.939835
5.753,-0.45848083,3.8199158,11.253052
5.774,-0.6117096,5.809494,9.119812
5.794,-0.5650177,5.100815,8.705612
5.815,0.019165039,3.5852814,8.907928
5.836,0.019165039,3.5852814,8.907928
5.856,-0.19869995,3.7337341,10.039185
5.877,-0.16279602,4.6219788,8.612244
5.898,-0.16279602,4.6219788,8.612244
5.918,-0.52072144,3.682251,10.3671875
5.939,-0.4237671,1.1396027,10.215164
5.959,0.051483154,-1.4592896,8.692444
5.98,-0.06941223,-3.203476,9.617813
6.001,0.07423401,-3.6559753,8.405151
6.026,0.26815796,-3.3926086,8.362045
6.047,0.32562256,-3.5075378,9.907501
6.067,-0.14842224,-2.480423,9.553162
6.09,-0.14842224,-2.480423,9.553162
6.11,0.03831482,-3.3674774
6.131,-0.120895386,-3.3255768,10.029617
6.152,-0.120895386,-3.3255768,10.029617
6.173,0.06704712,-0.8463745,10.593445
6.194,-0.010757446,1.9284973,10.746674
6.215,-0.010757446,1.9284973,10.746674
6.236,-0.79725647,5.157074,9.38797
6.257,-0.262146,4.844635,8.739136
6.278,-0.23580933,3.3159332,9.496902
6.298,0.12211609,3.9851227,8.573944
6.319,0.12211609,3.9851227,8.573944
6.34,-0.3555298,4.0114594,9.913498
6.36,-0.76852417,3.0753174,9.311356
6.381,-0.35073853,0.5219116,10.2283325
6.403,0.76734924,-0.4417572,9.0108795
6.424,0.76734924,-0.4417572,9.0108795
6.444,-0.42137146,-2.80484,9.518448
6.465,-0.10891724,-4.1659393,11.905472
6.486,-0.10891724,-4.1659393,11.905472
6.507,0.42138672,-4.262909,8.809769
6.528,0.2813263,-4.077362,9.968567
6.549,0.2813263,-4.077362,9.968567
6.57,-0.028717041,-5.3750153,10.077499
6.591,-0.029922485,-1.0510864,9.463379
6.614,-0.15919495,2.3115692,8.654144
6.635,-0.15919495,2.3115692,8.654144
6.656,-0.7816925,5.0708923,9.805756
6.677,-0.5135498,5.9304047,7.079956
6.697,-0.5135498,5.9304047,7.079956
6.718,0.06704712,4.844635
6.739,-0.25497437,4.9487915,9.226364
6.76,-0.25497437,4.9487915,9.226364
6.781,-0.554245,3.5074768,9.92067
6.801,-0.66078186,1.037857,9.117416
6.822,0.24421692,-0.65005493,9.219177
6.844,0.48843384,-1.1935425,9.762665
6.865,-0.35073853,-3.7733002,9.032425
6.886,-0.3555298,-2.998764,9.780609
6.907,0.14007568,-3.1376343,8.712799
6.927,0.15682983,-2.7354126,9.727936
6.948,0.15682983,-2.7354126,9.727936
6.969,0.15682983,-2.7354126,9.727936
6.99,0.07902527,-4.4592285,9.677658
7.011,0.075424194,-4.017502,10.962158
7.031,-0.092163086,-2.1907196,7.6737213
7.052,-0.05984497,1.8075867,10.023621
7.074,-0.30525208,4.7237244,9.201218
7.096,-0.4237671,6.697754,10.309738
7.117,-0.47283936,6.5696564,6.154602
7.137,-0.7194519,3.1830597,9.227554
7.158,-0.7194519,3.1830597,9.227554
7.179,0.16760254,3.532608,9.358032
7.201,-0.18434143,3.5493774,10.565918
7.224,-0.18434143,3.5493774,10.565918
7.244,-0.3866577,1.5023346,10.054749
7.265,-0.8618927,-0.80088806,8.014893
7.286,-0.8618927,-0.80088806,8.014893
7.307,-0.45848083,-2.7186432,9.452606
7.328,0.38427734,-4.508316,7.9083557
7.349,1.3766785,-3.6248474,9.859619
7.372,-0.33996582,-3.1675568,10.213959
7.395,-0.0035858154,-4.714218,10.704773
7.416,0.5255432,-4.046234,9.670486
7.437,0.08979797,-1.2797394,8.201645
7.458,-0.18315125,0.638031,8.73555
7.479,-0.41059875,4.1299744,9.372406
7.499,-0.60572815,5.4874725,9.261078
7.52,-0.60572815,5.4874725,9.261078
7.541,-0.4093933,4.085678,9.853638
7.562,-0.33876038,4.437622,9.958984
7.583,-0.1197052,4.533386,8.454224
7.604,-0.1197052,4.533386,8.454224
7.625,-0.22503662,3.069336,9.6393585
7.646,-0.13885498,1.6160583,9.879974
7.667,-0.13885498,1.6160583,9.879974
7.689,-0.36509705,-1.717865,10.666473
7.709,-0.6954956,-3.7792816,9.878784
7.73,0.23704529,-6.8929443,9.305359
7.753,0.35554504,-5.5342255,9.496902
7.773,0.1149292,-6.133972,9.932648
7.794,0.13528442,-4.0917206,9.638153
7.815,0.14605713,0.84991455,7.798218
7.835,-0.096954346,3.903717,10.775406
7.856,-0.36151123,5.4431915,8.745117
7.877,-0.4177704,6.800705,9.997284
7.898,-0.26574707,3.1064453,9.730331
7.919,-0.26574707,3.1064453,9.730331
7.943,-0.44410706,-0.013198853,11.214737
7.964,-0.7960663,-0.09220886,5.639847
7.984,-0.13764954,0.3746643,11.36319
8.005,0.48364258,0.8630829,8.504501
8.026,-0.18673706,0.5494385,11.150101
8.046,-0.18673706,0.5494385,11.150101
8.068,-0.44052124,0.56858826,10.1996
8.088,0.061065674,0.67393494,9.428665
8.109,-0.16998291,0.6200714,9.759064
8.13,-0.21905518,0.61528015,9.591476
8.151,-0.14364624,0.638031,9.44902
8.173,-0.2106781,0.6236572,9.544785
8.194,-0.2106781,0.6236572,9.544785
8.215,-0.16877747,0.57458496,9.641754
8.235,-0.20828247,0.61169434,9.638153
8.256,-0.17596436,0.64401245,9.598648
8.277,-0.16638184,0.6488037,9.60704
8.298,-0.16638184,0.6488037,9.60704
8.319,-0.16998291,0.6200714,9.642944
8.34,-0.1927185,0.638031,9.630981
8.361,-0.19392395,0.61528015,9.64534
8.382,-0.19392395,0.61528015,9.64534
8.403,-0.22384644,0.86068726,6.3784485
8.424,-0.21665955,0.6392212,9.870392
8.445,-0.14962769,0.60569763,10.212769
8.466,-0.14602661,0.6464081,9.833282
